RK,TEAM,PACE,AST,TO,ORR,DRR,REBR,EFFFG,TS,OFF_EFF,DEF_EFF
1,Cleveland,102.6,20.6,11.6,24.6,0,50.8,58.7,61.6,120.1,108.7
2,Denver,102.7,21.5,12.4,26.8,0,52,57.5,60.7,117.9,111.6
3,New_York,99.8,19.8,11.8,26.4,0,51.1,56.8,60.1,117.6,112.4
4,Boston,99.6,18.8,10.6,24.2,0,50.5,55.8,58.9,116.7,107.5
5,Oklahoma_City,101.3,18.8,10.6,24.9,0,50,55,58.3,115.4,102.3
6,Memphis,107.2,19.5,13.8,29.9,0,52.6,56.1,59.3,114.9,108.1
7,Dallas,100.7,18.3,12.6,25.7,0,50.3,55.3,58.7,113.7,111.1
8,Indiana,102.1,20.6,12,21.3,0,48,55.9,59.1,113.2,112.4
9,LA_Lakers,100.3,19.7,12.5,22.3,0,49.3,55.6,59.2,113.1,111.5
10,Sacramento,101,19,11.6,25.5,0,51.4,54.2,57.8,113.1,112
11,Phoenix,99.7,20,12.8,21.9,0,48.2,55.6,59.2,112.9,114.2
12,Milwaukee,101.8,18.6,12.3,19.7,0,48.9,56.2,59,112.1,110.7
13,Minnesota,98.9,18.5,13.6,26.4,0,51.3,54.6,58,111.5,107.9
14,San_Antonio,101.7,20.4,12.6,24.5,0,49.4,53.8,57.2,110.9,111.8
15,Detroit,101.9,18.5,13.5,26.3,0,51.8,54.2,57.4,110.4,110.3
16,Chicago,105.5,20,13.1,21.4,0,49.1,55,58,110.2,113.7
17,Houston,100.7,16.2,11.8,31.9,0,53.3,51.1,54.5,109.8,106.9
18,Golden_State,100.9,20,12.1,27.4,0,51.2,52.7,55.5,109.7,109.8
19,LA_Clippers,99.5,18.1,14.2,25.2,0,51.6,54.2,57.8,109.5,107
20,Atlanta,105.9,19.9,13.5,25.7,0,50.2,53.4,57,109.5,111.6
21,Miami,98,19.2,12.4,22.2,0,49.5,53.4,56.9,109.4,110.5
22,Philadelphia,99.1,17.3,12.3,22.5,0,46.7,52.9,56.8,109.4,113
23,Utah,100.8,18.2,15.3,28.4,0,52.1,53.8,57.6,109.1,116.8
24,New_Orleans,101.1,18.1,12.5,25.9,0,48.4,51.7,55.2,107.8,116.1
25,Toronto,102,20.1,13.6,26.1,0,49.5,53,56,107.7,113.6
26,Portland,101.2,16.9,14,28,0,49.7,52,55.5,107.3,113.7
27,Brooklyn,98.6,18.4,14.1,24.4,0,49,51.9,55.6,105.8,112.1
28,Charlotte,100.1,17.4,13.4,27.5,0,50.7,50.6,54,105.3,111.2
29,Orlando,98.7,17.3,13.3,25.5,0,50.1,50.4,54.2,104.7,106.7
30,Washington,104.1,17.9,13.8,23.2,0,47.9,51.1,54.5,103.6,117.1
